time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
6016.073147	75.493965	0.000386	195.740829	217
6017.108691	78.242226	0.000400	195.615082	218
6018.161352	76.786812	0.000394	194.962097	219
6019.202797	75.308388	0.000385	195.573395	220
6020.244162	75.790092	0.000387	196.005066	221
6021.286986	74.712654	0.000381	196.101227	222
6022.332617	74.990295	0.000383	195.620361	223
6023.375196	73.133614	0.000375	195.135254	224
6024.424641	71.865814	0.000367	195.984497	225
6025.461581	85.720116	0.000438	195.790955	226
6026.510876	140.559311	0.000717	196.134277	227
6027.548535	77.296425	0.000395	195.529602	228
6028.595187	79.043304	0.000404	195.661880	229
6029.637801	76.424484	0.000392	195.208923	230
6030.685369	75.242996	0.000385	195.345139	231
6031.723777	73.134758	0.000373	195.870972	232
6032.773955	74.038002	0.000379	195.147049	233
6033.813495	74.922264	0.000384	195.189774	234
6034.860548	94.544586	0.000483	195.838821	235
6035.897822	76.295959	0.000390	195.411392	236
6036.946732	74.407463	0.000380	195.967300	237
6037.984214	75.099739	0.000384	195.350861	238
6039.034785	73.199562	0.000375	195.366257	239
6040.072680	74.043732	0.000379	195.328964	240
6041.121354	72.325661	0.000370	195.319000	241
6042.161387	72.995766	0.000374	195.389053	242
6043.205080	73.615303	0.000376	195.951294	243
6044.247603	74.052376	0.000378	195.792007	244
6045.292527	74.061165	0.000379	195.611908	245
6046.333424	71.680351	0.000366	195.904785	246
6047.382284	68.384804	0.000350	195.347549	247
6048.418583	126.228477	0.000647	195.170441	248
6049.467567	69.382278	0.000355	195.576874	249
6050.501193	73.956284	0.000378	195.728439	250
6051.555019	131.754913	0.000674	195.543823	251
6052.586922	73.695541	0.000377	195.385437	252
6053.641097	68.367416	0.000349	196.048676	253
6054.671297	70.027580	0.000358	195.814041	254
6055.726601	69.762657	0.000357	195.483246	255
6056.756709	71.355766	0.000365	195.546082	0
6057.813947	66.884262	0.000342	195.428909	1
6058.844859	72.763168	0.000372	195.840927	2
6059.901029	101.170792	0.000517	195.669876	3
6060.930799	89.831482	0.000459	195.715912	4
6061.985087	63.074932	0.000322	195.756378	5
6063.018440	66.223625	0.000339	195.260864	6
6064.069314	63.641117	0.000325	195.688446	7
6065.102625	66.166519	0.000339	195.427704	8
